nohup: 입력 무시
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.

 _   _____  _  _
(_) / ____|(_)| |
 _ | |  __  _ | |__   ___   ___   _ __
| || | |_ || || '_ \ / __| / _ \ | '_ \
| || |__| || || |_) |\__ \| (_) || | | |
|_| \_____||_||_.__/ |___/ \___/ |_| |_|

workspace: /home/sky/문서/Github/DUSDi/exp_local/2026.01.02/213522_seed:1 moma2d dusdi_diayn 
| train          | F: 28000 | S: 28000 | E: 28 | L: 4000 | R: 0.0000 | FPS: 97.3994 | T: 0:00:41
| train          | F: 32000 | S: 32000 | E: 32 | L: 4000 | R: 0.0000 | FPS: 114.8993 | T: 0:01:15
| train          | F: 36000 | S: 36000 | E: 36 | L: 4000 | R: 0.0000 | FPS: 113.3686 | T: 0:01:51
| train          | F: 40000 | S: 40000 | E: 40 | L: 4000 | R: 0.0000 | FPS: 114.0834 | T: 0:02:26
| train          | F: 44000 | S: 44000 | E: 44 | L: 4000 | R: 0.0000 | FPS: 112.3116 | T: 0:03:01
| train          | F: 48000 | S: 48000 | E: 48 | L: 4000 | R: 0.0000 | FPS: 112.9558 | T: 0:03:37
| train          | F: 52000 | S: 52000 | E: 52 | L: 4000 | R: 0.0000 | FPS: 113.4365 | T: 0:04:12
| train          | F: 56000 | S: 56000 | E: 56 | L: 4000 | R: 0.0000 | FPS: 113.9797 | T: 0:04:47
| train          | F: 60000 | S: 60000 | E: 60 | L: 4000 | R: 0.0000 | FPS: 114.8961 | T: 0:05:22
| train          | F: 64000 | S: 64000 | E: 64 | L: 4000 | R: 0.0000 | FPS: 115.1828 | T: 0:05:57
| train          | F: 68000 | S: 68000 | E: 68 | L: 4000 | R: 0.0000 | FPS: 113.4295 | T: 0:06:32
| train          | F: 72000 | S: 72000 | E: 72 | L: 4000 | R: 0.0000 | FPS: 114.9397 | T: 0:07:07
| train          | F: 76000 | S: 76000 | E: 76 | L: 4000 | R: 0.0000 | FPS: 114.5669 | T: 0:07:42
| train          | F: 80000 | S: 80000 | E: 80 | L: 4000 | R: 0.0000 | FPS: 114.8060 | T: 0:08:16
| train          | F: 84000 | S: 84000 | E: 84 | L: 4000 | R: 0.0000 | FPS: 114.8901 | T: 0:08:51
| train          | F: 88000 | S: 88000 | E: 88 | L: 4000 | R: 0.0000 | FPS: 114.9071 | T: 0:09:26
| train          | F: 92000 | S: 92000 | E: 92 | L: 4000 | R: 0.0000 | FPS: 114.5967 | T: 0:10:01
| train          | F: 96000 | S: 96000 | E: 96 | L: 4000 | R: 0.0000 | FPS: 114.4226 | T: 0:10:36
| train          | F: 100000 | S: 100000 | E: 100 | L: 4000 | R: 0.0000 | FPS: 114.8219 | T: 0:11:11
| train          | F: 104000 | S: 104000 | E: 104 | L: 4000 | R: 0.0000 | FPS: 114.9487 | T: 0:11:46
| train          | F: 108000 | S: 108000 | E: 108 | L: 4000 | R: 0.0000 | FPS: 115.2785 | T: 0:12:20
| train          | F: 112000 | S: 112000 | E: 112 | L: 4000 | R: 0.0000 | FPS: 115.1057 | T: 0:12:55
| train          | F: 116000 | S: 116000 | E: 116 | L: 4000 | R: 0.0000 | FPS: 114.3543 | T: 0:13:30
| train          | F: 120000 | S: 120000 | E: 120 | L: 4000 | R: 0.0000 | FPS: 115.2638 | T: 0:14:05
